,Araneidae,Theridiidae01,Argyrodes,Neospintharus01,Rhomphaea01,Mysmenidae,Uloboridae,Salticidae,Mimetidae,Hemiptera01,Hemiptera04,Ants,Lathridiidae
2014ex01,0,49,3,25,1,1,51,0,0,10,0,0,0
2014ex02,2,10,0,30,0,2,116,0,0,0,0,0,0
2014ex03,0,1,0,3,1,0,92,1,0,4,0,0,0
2014ex05,0,0,0,0,0,0,7,0,0,5,0,0,0
2014ex06,0,0,1,0,0,2,15,1,0,0,0,0,0
2014ex07,0,3,0,0,0,0,4,0,0,0,0,0,0
2014ex09,1,3,0,0,0,0,11,0,0,0,0,1,0
2014ex10,0,19,1,6,0,5,27,0,0,6,0,20,1
2014ex12,0,1,0,2,0,0,6,0,0,1,0,2,0
2014ex13,0,5,1,2,0,0,5,0,2,0,0,20,0
2014ex15,1,19,0,12,2,1,17,0,0,0,0,20,0
2014ex17,0,27,0,11,0,0,28,0,0,30,0,20,0
2014ex18,0,7,0,12,0,0,98,0,2,50,0,0,0
2014ex19,0,56,0,31,0,0,53,1,1,0,0,20,0
2014ex20,0,4,0,0,1,0,35,0,0,0,0,1,0
2014ex21b,0,0,0,0,0,0,23,0,0,0,0,0,0
2014ex21e,0,0,0,0,0,0,1,0,0,0,0,0,0
2014ex23,0,2,0,0,1,0,0,0,0,0,0,0,0
2014ex24,0,8,0,1,0,0,11,0,0,0,0,0,0
2015ex01,0,0,0,0,0,0,2,0,0,0,0,0,0
2015ex02,0,7,0,5,2,0,13,0,0,3,0,45,0
2015ex03,0,6,0,0,0,12,13,0,1,1,0,1,0
2015ex04,0,0,0,0,1,0,1,0,0,1,0,30,0
2015ex05,2,22,1,3,4,0,20,0,0,0,1,26,0
2015ex06,1,10,0,2,0,0,30,0,0,8,0,0,0
2015ex07,0,17,0,15,0,2,40,0,0,19,0,0,0
2015ex08,0,1,1,9,2,0,71,0,0,3,1,8,0
2015ex09,0,5,0,4,0,3,2,0,1,22,0,1,1
2015ex10,0,1,3,0,0,0,8,0,0,0,0,0,0
2015ex11,0,0,0,1,0,0,1,0,0,0,0,0,0
2015ex12,0,0,0,0,0,0,3,0,0,0,0,0,0
2015ex13,0,18,2,145,2,0,124,0,0,5,0,0,0
2015ex15,0,2,2,3,0,1,5,0,0,2,0,28,0
2015ex16,0,10,1,3,0,2,2,0,2,20,0,0,0
2015ex17,0,4,1,1,0,1,9,0,0,25,0,0,0
2015ex18,0,12,1,11,0,2,6,0,0,15,0,5,0
2015ex19,0,0,0,0,0,0,0,0,1,0,0,0,0
2015ex21,0,0,0,0,0,0,25,0,0,0,0,1,0
2015ex22,0,4,1,8,2,0,23,0,0,2,0,0,0
2015ex23,0,1,3,0,0,0,7,0,0,0,0,0,0
2015ex24,0,3,2,2,1,0,14,0,0,3,0,0,0
2015ex25,0,0,0,0,0,0,4,0,0,0,0,0,0
T1A,1,0,0,0,1,0,25,1,1,1,0,8,0
T1B,0,2,2,4,3,0,57,0,0,1,0,0,0
T1C,0,6,0,6,1,2,50,1,0,1,0,1,0
T1D,0,0,2,2,1,1,26,0,0,0,0,0,0
T2A,0,0,0,0,0,0,4,1,0,0,0,0,0
T2B,1,0,0,0,0,0,29,0,0,0,0,2,0
T2C,0,2,0,2,1,0,27,0,0,0,0,12,0
T2D,0,1,0,2,0,4,61,0,0,0,0,5,0
T2E,0,0,0,2,2,0,28,0,0,0,0,11,0
T2F,1,0,0,0,0,2,13,1,0,3,0,0,0
T3D,0,2,0,0,0,2,12,1,0,2,0,1,0
T3E,0,6,0,0,2,3,46,0,0,1,0,1,0
T3F,0,0,0,0,1,1,14,0,0,2,0,21,3
T4A,1,0,0,0,1,1,17,0,0,0,0,20,0
T4B,0,2,3,1,1,2,17,0,1,0,1,60,0
T4C,0,1,3,2,0,1,15,1,0,0,0,20,0
T4D,0,3,1,1,1,1,26,1,0,0,1,20,0
T4E,0,0,2,7,0,0,46,0,0,0,0,5,0
T4F,0,1,2,3,4,1,8,2,0,0,0,2,0
T4G,0,8,0,4,1,0,36,1,0,4,0,20,0
T5A,1,1,1,1,2,0,44,1,0,2,0,21,0
T5D,1,0,1,1,1,2,23,1,0,0,0,20,0
T5G,0,2,2,6,1,3,37,2,2,1,1,21,0
T5H,0,0,1,3,1,2,33,1,0,1,0,0,0
T5I,1,4,0,1,1,1,25,3,0,2,0,20,1
