"","tangle.vol.cm3","source"
"2014ex01",668490,"forest"
"2014ex02",2840000,"forest"
"2014ex03",271434,"forest"
"2014ex05",118243,"forest"
"2014ex06",4126,"forest"
"2014ex07",12818,"forest"
"2014ex09",119302,"forest"
"2014ex10",1319469,"forest"
"2014ex12",100798,"forest"
"2014ex13",60083,"forest"
"2014ex15",576247,"forest"
"2014ex17",1083850,"forest"
"2014ex18",703112,"forest"
"2014ex19",4445590,"forest"
"2014ex20",264773,"forest"
"2014ex21b",480287,"forest"
"2014ex21e",44862,"forest"
"2014ex23",23666,"forest"
"2014ex24",66350,"forest"
"2015ex01",259,"forest"
"2015ex02",296632,"forest"
"2015ex03",21913,"forest"
"2015ex04",38500,"forest"
"2015ex05",350531,"forest"
"2015ex06",190498,"forest"
"2015ex07",460306,"forest"
"2015ex08",252165,"forest"
"2015ex09",72571,"forest"
"2015ex10",5909,"forest"
"2015ex11",165,"forest"
"2015ex12",2592,"forest"
"2015ex13",536741,"forest"
"2015ex15",60314,"forest"
"2015ex16",108071,"forest"
"2015ex17",121098,"forest"
"2015ex18",145142,"forest"
"2015ex19",79,"forest"
"2015ex21",22124,"forest"
"2015ex22",92055,"forest"
"2015ex23",810,"forest"
"2015ex24",63759,"forest"
"2015ex25",23960,"forest"
"T1A",52307.51768,"transplant"
"T1B",560774.2887,"transplant"
"T1C",488570.0175,"transplant"
"T1D",326568.5563,"transplant"
"T2A",94750.43443,"transplant"
"T2B",76340.70148,"transplant"
"T2C",64122.00045,"transplant"
"T2D",125663.7061,"transplant"
"T2E",151189.1465,"transplant"
"T2F",70096.78608,"transplant"
"T3D",8011.061267,"transplant"
"T3E",185353.9666,"transplant"
"T3F",195040.5439,"transplant"
"T4A",86418.93071,"transplant"
"T4B",76068.43012,"transplant"
"T4C",36630.97034,"transplant"
"T4D",117390.8455,"transplant"
"T4E",322327.4063,"transplant"
"T4F",333825.6354,"transplant"
"T4G",479571.9726,"transplant"
"T5A",129751.7036,"transplant"
"T5D",100976.0239,"transplant"
"T5G",336935.8121,"transplant"
"T5H",254861.704,"transplant"
"T5I",556376.059,"transplant"
