Species,Specialized,Source,Mean,N,stdev,CI,lowCI,upCI,Mean density m3,stdev density m3,CI density m3,lowCI density m3,upCI density m3,Mean prop,ci prop,Mean prop asin,ci prop asin
Araneidae,no,jungle,0.166666667,42,0.489731966,0.152611224,0.014055443,0.319277891,0.005184931,0.017291347,0.005388363,-0.000203432,0.010573294,0.003186028,0.003390834,0.018645806,0.016930428
Faiditus sp.1,yes,jungle,8.023809524,42,12.25837314,3.819977983,4.203831541,11.84378751,0.72370535,1.935484581,0.603139454,0.120565896,1.326844805,0.135279654,0.045901299,0.307281445,0.076150378
Argyrodes sp.1,no,jungle,0.571428571,42,0.914459914,0.28496577,0.286462802,0.856394341,1.091903564,5.745817871,1.790522895,-0.698619332,2.882426459,0.021121139,0.017776532,0.074878358,0.041013349
Faiditus sp.6,yes,jungle,8.261904762,42,22.99316921,7.165175931,1.096728831,15.42708069,1.656346894,9.328602146,2.906997071,-1.250650177,4.563343965,0.081327658,0.036158746,0.21110623,0.06702129
Rhomphaea sp.1,yes,jungle,0.476190476,42,0.89000124,0.27734391,0.198846566,0.753534387,0.035208968,0.084853549,0.026442227,0.008766741,0.061651195,0.014943829,0.016288469,0.055797817,0.035956585
Mysmenopsis,no,jungle,0.80952381,42,2.062890409,0.642841905,0.166681904,1.452365715,0.272115098,1.111333712,0.346315964,-0.074200867,0.618431062,0.018692754,0.017969145,0.063984438,0.039956551
Philoponella,no,jungle,24.35714286,42,31.80184182,9.910151551,14.44699131,34.26729441,8.027845976,19.91633867,6.206368035,1.821477941,14.23421401,0.496183405,0.098509897,0.794256496,0.132837933
Hypaeus,no,jungle,0.071428571,42,0.26066118,0.081227742,-0.00979917,0.152656313,0.058636801,0.373874172,0.116507394,-0.057870592,0.175144195,0.001633532,0.002571649,0.009745312,0.012466274
Mimetus,no,jungle,0.238095238,42,0.576343555,0.179601295,0.058493943,0.417696533,3.041072749,19.52798189,6.085347546,-3.044274797,9.126420295,0.028100067,0.048037781,0.060916991,0.076861796
Ranzovius,yes,jungle,5.595238095,42,10.45795187,3.258927219,2.336310876,8.854165314,0.30271254,0.623668232,0.194348703,0.108363838,0.497061243,0.093418179,0.050887811,0.201657713,0.082768685
Emesinae,no,jungle,0.047619048,42,0.215540269,0.067167076,-0.019548028,0.114786124,0.001623446,0.007450331,0.002321687,-0.000698241,0.003945132,0.000549402,0.000778766,0.005118753,0.007229093
Ants,no,jungle,5.928571429,42,11.05064363,3.443622976,2.484948453,9.372194404,0.494717354,1.45502492,0.453417684,0.04129967,0.948135038,0.10467374,0.065548945,0.199408084,0.09884937
Paratenetus,no,jungle,0.047619048,42,0.215540269,0.067167076,-0.019548028,0.114786124,0.003461307,0.021266035,0.006626963,-0.003165656,0.01008827,0.000890613,0.001343916,0.006416655,0.0092269
Araneidae,no,transplant,0.28,25,0.458257569,0.189159428,0.090840572,0.469159428,0.03098485,0.057560975,0.023760003,0.007224848,0.054744853,0.007321138,0.00418278,0.044556533,0.030995344
Faiditus sp.1,yes,transplant,1.64,25,2.215099697,0.914348216,0.725651784,2.554348216,0.182670914,0.494789968,0.204239261,-0.021568346,0.386910175,0.029485398,0.011473247,0.12308569,0.051759996
Argyrodes sp.1,no,transplant,0.8,25,1.040833,0.429634746,0.370365254,1.229634746,0.071684544,0.175395507,0.072399707,-0.000715163,0.144084251,0.016671184,0.007695964,0.082764634,0.042379874
Faiditus sp.6,yes,transplant,1.92,25,2.080064102,0.858608261,1.061391739,2.778608261,0.100066654,0.122504065,0.050567193,0.049499462,0.150633847,0.036163866,0.011967239,0.149946415,0.050966635
Rhomphaea sp.1,yes,transplant,1.04,25,0.978093383,0.403737105,0.636262895,1.443737105,0.062250975,0.060899819,0.02513821,0.037112765,0.087389185,0.023410996,0.010668928,0.121383739,0.040583435
Mysmenopsis,no,transplant,1.16,25,1.143095213,0.471846513,0.688153487,1.631846513,0.181407268,0.493416688,0.203672399,-0.02226513,0.385079667,0.026631447,0.008951337,0.126801058,0.044333646
Philoponella,no,transplant,28.76,25,15.26237203,6.299997536,22.46000246,35.05999754,2.569079496,2.939286542,1.213277853,1.355801643,3.78235735,0.599222319,0.060229482,0.893161935,0.085861645
Hypaeus,no,transplant,0.72,25,0.791622806,0.326765834,0.393234166,1.046765834,0.099027235,0.249249735,0.102885234,-0.003857999,0.201912469,0.024669634,0.01329758,0.108199067,0.049529878
Mimetus,no,transplant,0.16,25,0.472581563,0.195072081,-0.035072081,0.355072081,0.015279847,0.046330856,0.019124438,-0.003844591,0.034404285,0.002532818,0.002309943,0.01722261,0.020011062
Ranzovius,yes,transplant,0.84,25,1.106044002,0.456552525,0.383447475,1.296552525,0.146116412,0.498636018,0.205826832,-0.05971042,0.351943244,0.020867682,0.011167024,0.093141614,0.047636334
Emesinae,no,transplant,0.12,25,0.331662479,0.136903543,-0.016903543,0.256903543,0.009853014,0.030951755,0.012776257,-0.002923243,0.02262927,0.001694639,0.001494867,0.014221052,0.016320848
Ants,no,transplant,11.64,25,13.42534916,5.541711763,6.098288237,17.18171176,1.190685623,1.841879053,0.760290306,0.430395318,1.950975929,0.207793771,0.061842351,0.40175988,0.121925115
Paratenetus,no,transplant,0.16,25,0.6244998,0.257780848,-0.097780848,0.417780848,0.006871505,0.03082302,0.012723117,-0.005851612,0.019594622,0.003535109,0.004532327,0.016044371,0.024392367
