"","Argyrodes.sp1","Neospintharus.sp1","Mimetus","Faiditus.sp6","Faiditus.sp5","Faiditus.sp4","Emesinae","Araneidae.sp2","Paratenetus","Tetramorium","Rhomphaea","Hypaeus","Faiditus.sp1","Faiditus.sp3","Faiditus.sp2","Mysmenopsis.sp1","Mysmenopsis.sp2","Philoponella","Ranzovius","Crematogaster","Araneidae.sp1","Wasmannia"
"2014age01",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,21,0,0,0,0
"2014age03",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0
"2014age05",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0
"2014age06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"2014age07",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,13,0,0,0,0
"2014age08",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"2014age09",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0
"2014age10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"2014age11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"2014age12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"2014age13",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0
"2014age14",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,45,0,0,0,0
"2014age15",0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,8,0,32,0,0,0,0
"2014dom01",1,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,30,1,0,0,0
"2014dom02",0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,31,0,20,0,0
"2014dom03",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,5,0,0
"2014dom04",0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,12,0,0,0,0
"2014dom05",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0
"2014dom06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,3,0,0,0,0
"2014dom07",0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,4,0,0,0,0
"2014dom11",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0
"2014dom12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0
"2014dom12a",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,20,0,0
"2014dom13",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,12,0,2,0,0
"2014dom14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0
"2014dom15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0
"2014dom16",0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,7,0,0,0,0
"2014dom17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2014dom18",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
"2014dom19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0
"2014dom20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0
"2014dom21",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"2014dom22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"2014dom23",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"2014dom24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
"2014ex01",1,2,0,25,0,1,0,0,0,0,1,0,49,4,12,1,0,51,10,0,0,0
"2014ex02",0,0,0,30,0,0,0,1,0,0,0,0,10,5,0,0,2,116,0,0,1,0
"2014ex03",0,0,0,3,0,0,0,0,0,0,1,1,1,2,0,0,0,92,4,0,0,0
"2014ex05",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,5,0,0,0
"2014ex06",1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,15,0,0,0,0
"2014ex07",0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0
"2014ex09",0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,11,0,1,1,0
"2014ex10",0,1,0,6,0,0,0,0,1,0,0,0,19,1,0,5,0,27,6,20,0,0
"2014ex12",0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,2,0,0
"2014ex13",0,1,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,20
"2014ex15",0,0,0,12,0,0,0,1,0,0,2,0,19,0,0,1,0,17,0,20,0,0
"2014ex17",0,0,0,11,0,0,0,0,0,0,0,0,27,0,0,0,0,28,30,20,0,0
"2014ex18",0,0,2,12,0,0,0,0,0,0,0,0,7,1,0,0,0,98,50,0,0,0
"2014ex19",0,0,1,31,0,2,0,0,0,0,0,1,56,11,0,0,0,53,0,0,0,20
"2014ex20",0,0,0,0,0,1,0,0,0,0,1,0,4,1,2,0,0,35,0,1,0,0
"2014ex21b",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
"2014ex21e",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"2014ex23",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"2014ex24",0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0
"2014mecy01",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,136,0,0,3,0
"2014mecy02",1,0,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,24,0,0,0,0
"2014mecy03",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0,0,0
"2014mecy04",0,0,1,0,0,1,0,2,0,0,0,0,3,5,0,0,1,204,0,0,2,0
"2014mecy07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,0,0,0,0
"2014mecy08",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,40,0,0,0,0
"2014mecy10",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,46,0,0,0,0
"2014mecy11",0,2,0,0,0,1,0,0,0,0,0,0,20,2,0,0,1,37,0,0,1,0
"2014mecy13",0,0,1,0,0,0,1,0,0,0,0,1,2,2,0,0,23,229,0,0,0,0
"2014mecy14",0,0,0,0,1,0,0,1,0,0,1,0,8,0,0,0,2,60,0,0,2,0
"2014mecy15",1,0,1,0,0,1,0,0,0,0,0,0,4,10,0,0,7,111,0,0,0,0
