Species,functional group,microhabitat
Argyrodes.06,predator,satellite
Mimetidae01,predator,satellite
Neospintharus01,kleptoparasite A,tangle
Neospintharus06,kleptoparasite P,tangle
Theridiidae07,kleptoparasite P,tangle
Lathridiidae,detritivore,basket
Tetramorium01,kleptoparasite P,basket
Rhomphaea01,predator,satellite
Salticidae01,predator,satellite
Theridiidae01,kleptoparasite A,tangle
Theridiidae03,kleptoparasite P,tangle
Theridiidae06,kleptoparasite A,tangle
Mysmenidae01,kleptoparasite P,basket
Mysmenidae02,kleptoparasite P,basket
Uloboridae01,kleptoparasite P,tangle
Hemiptera01,detritivore,basket
Crematogaster01,kleptoparasite A,basket
Wasmannia01,kleptoparasite P,basket
